 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
 타이타닉의 구명 보트에는 몇 명이 탈수 있을까?| 9명(구명 보트)
 서울시민 모두가 동시에 외치면 무슨 말이 될까?| 천만의 말씀(서울시민 천만명)
 금은 금인데 도둑고양이에게 가장 어울리는 금은?| 야금야금
 고기 먹을 때마다 따라오는 개는?| 이쑤시개
 별 중에 가장 슬픈 별은?| 이별
 진짜 새의 이름은 무엇일까요?| 참새
 붉은 길에 동전 하나가 떨어져 있다. 그 동전의 이름은?| 홍길동전
 사람의 몸무게가 가장 많이 나갈 때는?| 철들 때
 A젖소와 B젖소가 싸움을 했는데 싸움에서 B젖소가 이겼다. 왜 그랬을까?| A젖소는 ‘에이 졌소.’이고, B젖소는 ‘삐 졌소
 젖소와 강아지가 싸우면 누가 이기는가?| 강아지(‘너 졌소’, ‘나 강하지’)
 이혼이란?| 이제 자유로운 혼자
 고인돌이란?| 고릴라가 인간을 돌멩이 취급하던 시대
 ‘엉성하다’란?| 엉덩이가 풍성하다.
 절세미녀란?| 절에 세들어 사는 미친 여자
 눈치코치란?| 눈 때리고 코 때리고
 오리지날이란?| 오리도 지랄하면 날수 있다.
 요조숙녀란?| 요강에 조용히 앉아있는 숙녀
 세상에서 가장 뜨거운 바다는 어디일까요?| 열바다
 세상에서 가장 추운 바다는 어디일까요?| 썰렁해!
 세상에서 제일 더러운 집은?| 똥~집!
 세상에서 제일 맛있는 집은?| 닭똥집
 여자가 가장 좋아하는 집은?| 시집
 남자가 가장 좋아하는 집은?| 계집, 작은집(첩)
 목수도 고칠 수 없는 집은?| 고집
 자기들만이 옳다는 사람들 만 사는 집은?| 고집
 보내기 싫으면?| 가위나 바위를 낸다.
 땅 투기꾼과 인신 매매범을 7자로 줄이면?| 땅팔자 사람팔자.
 도둑이 도둑질하러 가는 걸음걸이를 4자로 줄이면?| 털레털레
 식인종이 밥투정 할 때 하는 말은?| 에이, 살맛 안나~
 천하장사 임꺽정이 타고 다니는 차가 무엇일까?| 으라차차차!
 양초 곽에 양초가 꽉 차 있을 때를 세 자로 줄이면?| 초만원
 ‘씨름 선수들이 죽 늘어서 있다.’를 세 자로 줄이면?| 장사진
 서로 진짜라고 우기는 신은?| 옥신각신
 재밌는 곳은 어딜까?| 냉장고에 잼 있다.
 ‘개가 사람을 가르친다.’를 나타내는 사자성어는?| 개인지도
 ‘소가 웃는 소리’를 세 글자로 하면?| 우하하!
 사자성어 ‘이심전심’이란?| 이순자가 심심하면 전두환도 심심하다.
 사자성어 ‘황당무계’란?| 노란 당근이 무게가 더 나간다.
 사자성어 ‘천고마비’란?| 하늘에 고약한 짓을 하면 온 몸이 마비된다.
 착한자식이란?| 한국에서 살고 있는 성실한 사람.
 호로자식이란?| 러시아를 좋아하는 사람.
 미친자식이란?| 미국과 친하게 지내려는 사람.
